id,name,album_id,popularity,url,track_number,valence
3bDXhWsPiFTHtrsMg5faL2,What Makes You Country,6NUEU1vyIctdAg8IHot8Wy,73,,1,0.797
1JcgfeOYbEfYlmAQ8qfE8E,Out Of Nowhere Girl,6NUEU1vyIctdAg8IHot8Wy,55,,2,0.608
5w3NgfV8v1nNZFLUBlGHIL,Light It Up,6NUEU1vyIctdAg8IHot8Wy,67,,3,0.677
79LAFAkR1ATb4iIQvZuCL0,Most People Are Good,6NUEU1vyIctdAg8IHot8Wy,71,,4,0.537
53yTYusPQJ1AApL1hi0Dnc,"Sunrise, Sunburn, Sunset",6NUEU1vyIctdAg8IHot8Wy,70,,5,0.718
21IMqScnogU0bv1v7DxwBa,Bad Lovers,6NUEU1vyIctdAg8IHot8Wy,52,,6,0.569
4CqHMLVJmU5jvU0eCf2jsT,Drinking Again,6NUEU1vyIctdAg8IHot8Wy,51,,7,0.91
3q1MWXwUymllOPAaLEGEdl,Land Of A Million Songs,6NUEU1vyIctdAg8IHot8Wy,50,,8,0.512
6aK6e7vXUx2IogrtZCGC8W,Like You Say You Do,6NUEU1vyIctdAg8IHot8Wy,51,,9,0.694
0vzhTiDAhK2SJ3ymvrfewt,Hooked On It,6NUEU1vyIctdAg8IHot8Wy,53,,10,0.586
3CqHc5qwwCACjqXKied01h,She's A Hot One,6NUEU1vyIctdAg8IHot8Wy,53,,11,0.645
5NQXHsUUF006GrtFD5NgDZ,Hungover In A Hotel Room,6NUEU1vyIctdAg8IHot8Wy,52,,12,0.454
2IHawy6xc5ezcHjIOCteVJ,Pick It Up,6NUEU1vyIctdAg8IHot8Wy,49,,13,0.871
4YkQszw3HvtUEs0BzxWPcp,Driving This Thing,6NUEU1vyIctdAg8IHot8Wy,50,,14,0.711
6x8AqouGYXQvAiQyRF9ujM,Win Life,6NUEU1vyIctdAg8IHot8Wy,49,,15,0.535
1jwzGFuPfkNQOZW94JRWrB,Country Man - Karaoke,1236yHELhjG4kDHx2fyN5d,29,,1,0.843
2fd3v4xv7LyCHErFId5r4g,All My Friends Say - Karaoke,1236yHELhjG4kDHx2fyN5d,28,,2,0.986
7Lh6l5EE7dme8ne9K9P61S,Rain Is A Good Thing - Karaoke,1236yHELhjG4kDHx2fyN5d,29,,3,0.746
