id,name,date,popularity
1WMVvswNzB9i2UMh9svso5,The Beatles,2018,71
0n9SWDBEftKwq09B01Pwzw,Live At The Hollywood Bowl,2016,50
4KYcffwC5HgjJLdpQU9SjC,Let It Be... Naked (Remastered),2014,51
0XRZpF083HqgygM0v1hQyE,Yellow Submarine Songtrack,2014,56
7vEJAtP3KgKSpOHVgwm3Eh,1 (Remastered),2000,77
2EowTulHWqSY6QZfTDf5vW,Live At The BBC (Remastered),1994,48
0jTGHV5xqHPvEcwL8f6YU5,Let It Be (Remastered),1970,71
0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),1969,78
1gKZ5A1ndFqbcrWtW85cCy,Yellow Submarine (Remastered),1969,51
1klALx0u4AavZNEvC4LrTL,The Beatles (Remastered),1968,72
2BtE7qm1qzM80p9vLSiXkj,Magical Mystery Tour (Remastered),1967,68
1ntNLgaYCFCkeW4flGYlY2,Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),1967,57
3PRoXYsngSwjEQWR5PsHWR,Revolver (Remastered),1966,69
50o7kf2wLwVmOTVYJOTplm,Rubber Soul (Remastered),1965,71
0PT5m6hwPRrpBwIHVnvbFX,Help! (Remastered),1965,72
1vANZV20H5B4Fk6yf7Ot9a,Beatles For Sale (Remastered),1964,61
