id,name,album_id,popularity,url,track_number,valence
3cClZLOM7hI85vz4Qzn55V,"Disposable Heroes - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,48,,1,0.349
7DgWnccOmJEfXpu4wEfBQG,"When A Blind Man Cries - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,47,,2,0.328
1iUz7E7KEGvrZ7mhtL3074,"The Unforgiven - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,48,,3,0.319
4eTf0Acq0vEUwLeitqgObO,"Please Don't Judas Me - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,45,,4,0.201
1SVdXyFLE2TCYEPv9zqep7,"Turn The Page - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,46,,5,0.292
7eqcrdEjPosFJlvCQVsvRm,"Bleeding Me - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,45,,6,0.198
7Lq6wrFU9TAI2h3gToWJaQ,"Veteran of the Psychic Wars - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,43,,7,0.531
1keZmoNHCOnq9n9Mk8xcwe,"Nothing Else Matters - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,45,,8,0.137
5KM5wMhod0y9Aap9tKTgJ9,"All Within My Hands - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,43,,9,0.202
0UftwdAYF6ROINuusizVWT,"Enter Sandman - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,44,,10,0.137
4RGGiJh4rrT4NZoKaxL0UA,"The Four Horsemen - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,43,,11,0.577
4fzJ15Rfg8Gj7x65wQcKlW,"Hardwired - Live At The Masonic, San Francisco, CA - November 3rd, 2018",5tEW32iyrRuYPQQ4bwUiCf,42,,12,0.162
2AcKy1BQI9I3ApTH42hiJ3,"Disposable Heroes (Live at The Masonic, San Francisco, CA - November 3rd, 2018)",3KESkLVC8ivaWmZAoDinoc,39,https://p.scdn.co/mp3-preview/2dd3b6ae15a6146ea0682fd32f7a1f6d9b1d4396?cid=f2aa2c18088747f585c6ff121849072c,1,0.347
