id,name,album_id,popularity,url,track_number,valence
7oolFzHipTMg2nL7shhdz2,Eraser,3T4tUhGYeRNVUGevb0wThu,69,https://p.scdn.co/mp3-preview/169e8c087a6f0d05808fc893eedc13794bedfc36?cid=f2aa2c18088747f585c6ff121849072c,1,0.914
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,3T4tUhGYeRNVUGevb0wThu,81,https://p.scdn.co/mp3-preview/beb4ed48cca5d2a792e877c7efe92d54046eac67?cid=f2aa2c18088747f585c6ff121849072c,2,0.471
51ChrwmUPDJvedPQnIU8Ls,Dive,3T4tUhGYeRNVUGevb0wThu,79,https://p.scdn.co/mp3-preview/14bdcdfb15edba50c56d07af3880aceb8bf831bc?cid=f2aa2c18088747f585c6ff121849072c,3,0.526
7qiZfU4dY1lWllzX7mPBI3,Shape of You,3T4tUhGYeRNVUGevb0wThu,87,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=f2aa2c18088747f585c6ff121849072c,4,0.931
0tgVpDi06FyKpA1z0VMD4v,Perfect,3T4tUhGYeRNVUGevb0wThu,88,https://p.scdn.co/mp3-preview/9779493d90a47f29e4257aa45bc6146d1ee9cb26?cid=f2aa2c18088747f585c6ff121849072c,5,0.168
0afhq8XCExXpqazXczTSve,Galway Girl,3T4tUhGYeRNVUGevb0wThu,82,https://p.scdn.co/mp3-preview/cec1fc40a0220f20d3b91dd28d8e1141ad5e7e25?cid=f2aa2c18088747f585c6ff121849072c,6,0.781
2RttW7RAu5nOAfq6YFvApB,Happier,3T4tUhGYeRNVUGevb0wThu,85,https://p.scdn.co/mp3-preview/e2f5edb569c73916428ec0a2e0b56a9f777851dd?cid=f2aa2c18088747f585c6ff121849072c,7,0.236
5HDPtsnyb3maFmPL8LLUTG,New Man,3T4tUhGYeRNVUGevb0wThu,73,https://p.scdn.co/mp3-preview/31b412a3beb5843fde6b7716388887f3dc556d1a?cid=f2aa2c18088747f585c6ff121849072c,8,0.862
2dfHh7ECGxfNqZTQno09Vk,Hearts Don't Break Around Here,3T4tUhGYeRNVUGevb0wThu,72,https://p.scdn.co/mp3-preview/b24db7d4d944f7585f82a7be8f113d25882c4e4d?cid=f2aa2c18088747f585c6ff121849072c,9,0.181
2pJZ1v8HezrAoZ0Fhzby92,What Do I Know?,3T4tUhGYeRNVUGevb0wThu,74,https://p.scdn.co/mp3-preview/bad41a580c7e5f886297528f7cf9003e5a316335?cid=f2aa2c18088747f585c6ff121849072c,10,0.895
6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),3T4tUhGYeRNVUGevb0wThu,73,https://p.scdn.co/mp3-preview/523a1f1134418aded6cdbac1ed09f7fb6255d8d9?cid=f2aa2c18088747f585c6ff121849072c,11,0.242
