id,name,date,popularity
1Kc7TpYwJQ0mzVAssuWbB0,Texoma Shore,2017,63
4JmphteFDt5gNZbgraR9Dc,If I'm Honest,2016,65
0daIqjuhsQqXoeII3pBSeT,BRINGING BACK THE SUNSHINE,2014,61
7G5ORGckdPilGN7kkBeJx6,Studio Series Performance Tracks,2013,27
6MzrSTAQdDR92tHLLAhYp0,Based on a True Story... (Deluxe Version),2013,63
4Jk9oJP4aUo6X2XSwTgnBh,"Cheers, it's Christmas. (Deluxe Version)",2012,34
1WXCjIDp84rJN6Sa1Um9kJ,Red River Blue (Deluxe),2011,60
6UeNUBAGwpam5g2RgAKdqt,Loaded: The Best Of Blake Shelton,2010,50
4BHNgbuhb9QglcxsSegKld,Startin' Fires (Std. Version),2008,39
1UxJt1zY5l8yZjjkFfeiZE,Pure BS - Deluxe Edition,2007,37
6Dx1pg8UVVauDZajxg62RA,Blake Shelton's Barn And Grill,2004,51
1amEuPgQIILmTQaojFZuwX,The Dreamer,2003,37
4BRHk20nhD24APuvO9PvC8,Blake Shelton,2001,57
